"x1","x2","x3","x4","x5","z"
2,1,0,3,1,2.30667697485742
0,0,1,4,0,1.86254561753523
1,0,1,2,2,6.88245202508775
2,0,2,3,1,1.56122237249727
1,1,2,0,1,10.0227981625232
1,0,1,4,0,17.0922750914331
2,1,1,3,0,13.2131621036062
1,0,2,4,2,65.7221732901361
2,1,2,4,0,1.6697222171409
1,0,1,3,2,2.98410001340377
2,1,1,1,2,38.2714986466824
2,0,2,3,1,32.486592890793
0,0,0,2,0,1.02320795016178
1,1,2,4,0,11.4978211899885
1,1,0,4,0,-13.8478011027132
2,0,2,3,1,3.42898196527699
1,0,0,1,2,2.76347356573613
0,0,2,3,2,1.4984180338697
0,1,1,3,0,2.69464336031667
2,0,2,3,2,4.28332381340689
1,1,2,2,2,1.25145021334884
0,1,2,0,0,39.5034700134398
1,1,1,3,2,14.0000707326521
2,1,2,3,2,25.6301019986614
2,0,1,1,1,11.7205218731323
1,1,1,3,2,33.4817584783873
1,1,2,4,0,2.38337856784037
0,1,1,0,0,3.79757747663116
2,0,2,0,2,39.4884569899608
0,0,1,3,1,7.004377265235
2,1,1,1,0,2.08466797738065
2,1,0,1,1,13.6912755917115
2,1,2,0,2,1.64365979602813
0,1,0,2,1,1.02024585142404
2,0,0,0,1,3.82219843635029
0,1,1,4,1,11.4174178364891
0,1,0,1,0,1.87309854078678
0,1,0,1,2,15.7288195661394
0,0,2,0,2,3.48224765504192
1,0,2,0,2,16.9485796108481
1,0,0,0,0,0.443181721545369
1,1,0,3,0,4.59311467046823
2,0,2,4,2,23.8889323436856
0,1,1,2,2,3.30798039876936
0,0,1,0,2,25.0530777957151
2,1,2,4,1,56.5724086550583
0,0,2,4,2,13.8304139831102
2,1,2,4,2,20.3698838005544
1,1,0,4,0,24.6371332441005
2,0,1,0,0,0.442609239552924
1,0,0,1,1,1.55707190605928
0,0,0,4,1,2.61435464869788
2,1,0,2,0,4.15731940144105
2,1,0,1,2,3.27187352843315
1,0,1,2,0,8.16022796961752
1,1,1,4,2,20.305392507966
2,1,0,0,1,-0.822792459119595
1,1,0,3,2,0.953263662019383
0,1,0,2,1,6.39976269285951
1,1,2,1,1,18.0120466593223
1,1,2,3,2,3.5197828612732
1,0,0,3,0,2.77073874633194
2,1,1,4,0,3.0016399131604
2,0,0,1,2,34.7924955618811
0,1,0,4,1,1.02017637232802
2,1,1,4,1,29.1861113413214
1,0,0,1,1,7.21272584658984
2,1,0,3,2,1.97185679957838
2,0,2,1,2,27.0635977678085
2,1,0,2,2,14.065114729966
0,0,0,1,2,0.282934393070783
1,1,0,4,1,4.44602192335867
2,0,0,1,2,11.8271726294143
0,0,1,3,1,24.3841976127519
0,1,2,1,1,137.869402843831
2,1,2,1,0,1.81821668922863
2,0,2,2,1,15.129571907648
2,1,2,0,0,1.31789787065747
0,1,1,1,0,1.84792078730512
0,1,1,4,1,3.61281550083005
2,1,1,1,1,23.4809397600052
1,1,1,0,1,1.10422581383156
1,1,1,2,2,3.20871980741391
1,0,1,1,0,1.61041422599372
0,1,0,0,1,2.79481374162657
2,0,2,1,0,14.7910396002592
1,1,0,1,0,9.49482773139332
1,1,2,2,1,9.05441428066981
2,0,1,2,2,2.48620213194176
2,0,0,3,0,-27.6850144856896
2,1,2,4,0,5.57671910756162
0,0,2,2,0,2.52689741676558
2,0,2,4,2,4.94557086235339
2,1,0,1,0,3.09754111932808
0,1,2,0,0,2.60779696991365
0,1,0,0,2,1.87546078720199
0,1,1,4,2,4.11456745943569
0,1,0,3,1,1.30672838075379
1,0,1,3,1,7.04921117112802
2,1,0,4,1,33.9009549500135
2,1,1,1,1,5.51264837522237
2,0,2,4,0,17.3235684892414
0,0,2,4,0,63.830526960575
2,0,0,2,0,2.85042920718022
0,1,0,1,2,3.42228038550644
1,0,1,2,1,27.6847084318178
1,1,1,1,1,26.0653962959695
1,0,1,1,2,1.89548307325079
1,1,2,4,1,79.2516223743116
1,0,0,2,2,-84.1281712716946
1,1,2,3,0,9.52122428247035
1,1,1,4,1,21.3159250590399
0,0,2,4,1,11.3055362416862
0,1,1,2,2,5.5556331222198
0,1,2,0,2,42.7773716719105
1,1,1,3,2,16.6685019421702
0,1,0,0,2,-43.1430524551144
2,0,0,3,0,-1.16387574611033
0,0,0,0,1,5.57753381872902
1,0,0,4,2,-2.80447585867936
0,0,1,4,0,4.66387358763384
0,1,0,4,0,10.2627036911077
1,0,1,4,0,1.4127400870647
0,0,0,0,1,4.2967462359135
1,0,0,0,2,11.2386968043086
1,1,2,3,0,16.6847097763358
0,1,1,2,2,75.1465279933063
0,0,1,1,0,0.833138856247455
0,1,1,2,2,18.9669854159674
1,1,0,4,1,19.8593969511647
2,0,1,2,0,53.4529896986501
0,0,2,1,0,2.52510608278735
1,0,0,1,1,8.1380638043899
2,1,0,4,1,7.17848188032518
2,0,2,1,2,12.246014281847
0,1,0,1,1,12.0198980706494
1,0,0,2,0,-3.51912345839979
2,0,2,0,0,8.26372951194817
0,0,1,3,2,2.44652908934838
1,0,0,3,0,13.9887590208267
