"","x1","x2","x3","x4","x5","z"
"1","2","1","0","2","2","2"
"2","0","0","1","2","0","1"
"3","1","0","1","1","2","2"
"4","2","0","2","2","2","2"
"5","1","1","2","0","2","2"
"6","1","0","1","2","0","0"
"7","2","1","1","2","1","2"
"8","1","0","2","2","3","3"
"9","2","1","2","2","0","3"
"10","1","0","1","1","3","2"
"11","2","1","1","0","3","3"
"12","2","0","2","2","2","3"
"13","0","0","0","1","0","0"
"14","1","1","2","2","0","3"
"15","1","1","0","2","0","0"
"16","2","0","2","2","1","2"
"17","1","0","0","0","3","2"
"18","0","0","2","2","3","3"
"19","0","1","1","1","0","0"
"20","2","0","2","2","3","3"
"21","1","1","2","1","3","3"
"22","0","1","2","0","0","0"
"23","1","1","1","2","2","2"
"24","2","1","2","1","3","3"
"25","2","0","1","0","2","2"
"26","1","1","1","2","3","3"
"27","1","1","2","2","0","2"
"28","0","1","1","0","0","0"
"29","2","0","2","0","3","3"
"30","0","0","1","1","1","1"
"31","2","1","1","0","0","0"
"32","2","1","0","1","1","1"
"33","2","1","2","0","3","3"
"34","0","1","0","1","1","1"
"35","2","0","0","0","1","0"
"36","0","1","1","2","2","3"
"37","0","1","0","0","0","0"
"38","0","1","0","0","3","0"
"39","0","0","2","0","3","2"
"40","1","0","2","0","3","3"
"41","1","0","0","0","0","0"
"42","1","1","0","2","0","0"
"43","2","0","2","2","3","3"
"44","0","1","1","1","3","3"
"45","0","0","1","0","3","0"
"46","2","1","2","2","2","3"
"47","0","0","2","2","3","3"
"48","2","1","2","2","3","3"
"49","1","1","0","2","1","1"
"50","2","0","1","0","0","0"
"51","1","0","0","0","1","0"
"52","0","0","0","2","2","2"
"53","2","1","0","1","0","1"
"54","2","1","0","1","3","1"
"55","1","0","1","1","0","0"
"56","1","1","1","2","3","3"
"57","2","1","0","0","2","0"
"58","1","1","0","1","2","1"
"59","0","1","0","1","2","0"
"60","1","1","2","1","1","3"
"61","1","1","2","2","3","3"
"62","1","0","0","2","0","0"
"63","2","1","1","2","1","2"
"64","2","0","0","1","3","2"
"65","0","1","0","2","1","1"
"66","2","1","1","2","1","3"
"67","1","0","0","0","1","0"
"68","2","1","0","1","2","2"
"69","2","0","2","0","3","3"
"70","2","1","0","1","3","2"
"71","0","0","0","0","3","0"
"72","1","1","0","2","1","2"
"73","2","0","0","1","3","2"
"74","0","0","1","1","2","1"
"75","0","1","2","0","1","3"
"76","2","1","2","0","0","3"
"77","2","0","2","1","2","3"
"78","2","1","2","0","0","2"
"79","0","1","1","1","0","2"
"80","0","1","1","2","1","2"
"81","2","1","1","1","1","2"
"82","1","1","1","0","2","1"
"83","1","1","1","1","3","3"
"84","1","0","1","0","0","1"
"85","0","1","0","0","2","0"
"86","2","0","2","1","0","1"
"87","1","1","0","0","0","0"
"88","1","1","2","1","2","3"
"89","2","0","1","1","3","3"
"90","2","0","0","2","0","0"
"91","2","1","2","2","0","3"
"92","0","0","2","1","1","2"
"93","2","0","2","2","2","3"
"94","2","1","0","1","0","0"
"95","0","1","2","0","0","0"
"96","0","1","0","0","3","1"
"97","0","1","1","2","3","3"
"98","0","1","0","1","1","1"
"99","1","0","1","2","2","2"
"100","2","1","0","2","1","2"
"101","2","1","1","0","2","2"
"102","2","0","2","2","0","2"
"103","0","0","2","2","0","3"
"104","2","0","0","1","1","0"
"105","0","1","0","1","2","1"
"106","1","0","1","1","2","0"
"107","1","1","1","0","2","1"
"108","1","0","1","0","3","2"
"109","1","1","2","2","1","3"
"110","1","0","0","1","3","0"
"111","1","1","2","2","0","2"
"112","1","1","1","2","2","3"
"113","0","0","2","2","1","3"
"114","0","1","1","1","2","2"
"115","0","1","2","0","3","3"
"116","1","1","1","2","2","3"
"117","0","1","0","0","2","0"
"118","2","0","0","2","0","0"
"119","0","0","0","0","1","0"
"120","1","0","0","2","3","1"
"121","0","0","1","2","0","0"
"122","0","1","0","2","0","0"
"123","1","0","1","2","1","1"
"124","0","0","0","0","1","0"
"125","1","0","0","0","3","1"
"126","1","1","2","2","0","2"
"127","0","1","1","1","3","3"
"128","0","0","1","0","0","0"
"129","0","1","1","1","2","2"
"130","1","1","0","2","1","1"
"131","2","0","1","1","0","0"
"132","0","0","2","1","0","1"
"133","1","0","0","1","1","0"
"134","2","1","0","2","1","1"
"135","2","0","2","0","3","3"
"136","0","1","0","1","2","1"
"137","1","0","0","1","1","0"
"138","2","0","2","0","0","0"
"139","0","0","1","2","3","2"
"140","1","0","0","2","0","0"
"141","1","0","1","2","1","2"
"142","0","1","2","0","0","2"
"143","0","1","1","1","3","2"
"144","1","0","1","0","3","2"
"145","1","1","1","1","3","2"
"146","2","0","0","1","2","0"
"147","0","1","2","0","1","2"
"148","0","0","0","0","3","0"
"149","2","0","1","2","3","3"
"150","0","0","2","1","3","2"
"151","1","1","1","0","1","0"
"152","0","0","2","1","3","2"
"153","2","0","2","2","2","3"
"154","1","0","2","2","3","3"
"155","0","0","1","1","3","1"
"156","0","1","0","2","2","2"
"157","1","0","2","0","2","1"
"158","0","0","0","2","3","2"
"159","0","1","1","0","2","1"
"160","2","0","1","0","3","2"
"161","1","1","0","2","3","3"
"162","0","0","2","1","3","3"
"163","1","0","2","2","0","3"
"164","1","1","2","1","3","3"
"165","2","0","0","1","0","0"
"166","2","1","2","2","1","3"
"167","0","1","2","2","2","3"
"168","2","0","0","2","1","2"
"169","1","0","0","1","0","0"
"170","2","0","1","2","2","3"
"171","1","0","0","0","0","0"
"172","2","0","1","2","1","1"
"173","0","1","2","0","2","1"
"174","2","1","1","2","1","2"
"175","2","0","1","2","1","3"
"176","1","1","2","2","0","3"
"177","0","1","1","1","2","1"
"178","2","1","2","2","0","3"
"179","2","0","1","2","3","3"
"180","1","0","1","0","2","0"
"181","1","0","1","2","0","2"
"182","0","1","2","1","2","3"
"183","1","1","2","1","0","3"
"184","1","0","0","2","2","2"
